BeerID,Name,URL,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount,UserId,IsPils
717,Pils Urquell Clone,/homebrew/recipe/view/56611/pils-urquell-clone,31,20.82,1.05,1.012,5.07,40.22,3.37,26.5,60,,75.0,,Specific Gravity,All Grain,,12.78,,,2304.0,True
745,Mikkeller Vesterbro Pilsner,/homebrew/recipe/view/136207/mikkeller-vesterbro-pilsner,31,20.0,1.054,1.011,5.64,38.89,5.48,25.0,90,1.043,75.0,2.5,Specific Gravity,All Grain,,11.0,,,1046.0,True
813,Bakke Brygg Tysk Pilsner 50 l,/homebrew/recipe/view/141558/bakke-brygg-tysk-pilsner-50-l,81,50.0,1.048,1.011,4.85,38.44,2.77,60.0,90,1.04,73.0,,Specific Gravity,All Grain,,10.0,,,18325.0,True
817,New world XII (westvleteren 12 clone),/homebrew/recipe/view/47720/new-world-xii-westvleteren-12-clone-,111,20.82,1.105,1.024,10.67,49.4,25.37,28.39,90,,75.0,,Specific Gravity,All Grain,1.0,27.78,,,13634.0,True
868,Hoppy Pils,/homebrew/recipe/view/105888/hoppy-pils,81,18.93,1.052,1.015,4.92,44.69,4.24,30.28,90,1.033,60.0,1.5,Specific Gravity,All Grain,1.5,12.78,,,23941.0,True
897,Aaron's All American Adjunct Ale,/homebrew/recipe/view/42091/aaron-s-all-american-adjunct-ale,40,19.87,1.051,1.012,5.21,35.56,3.31,24.61,60,1.041,75.0,,Specific Gravity,All Grain,0.5,11.11,Corn sugar,5 oz,2068.0,True
912,The Phantom Grain Lite,/homebrew/recipe/view/84664/the-phantom-grain-lite,40,25.55,1.034,1.0070000000000001,3.62,17.8,2.33,26.5,15,1.033,70.0,,Specific Gravity,All Grain,1.5,15.56,,,,True
936,Flat Tire-ish,/homebrew/recipe/view/430061/flat-tire-ish,40,23.5,1.0490000000000002,1.008,5.32,39.31,5.73,28.0,60,1.041,68.0,,Specific Gravity,All Grain,1.5,9.0,,,,True
955,Motueka Pilsner,/homebrew/recipe/view/95275/motueka-pilsner,31,20.0,1.05,1.01,5.22,36.59,5.39,23.0,60,1.043,75.0,,Specific Gravity,Partial Mash,1.5,14.0,,,,True
1003,Maris Otter sMasH,/homebrew/recipe/view/52974/maris-otter-smash,111,23.0,1.048,1.014,4.56,31.09,5.56,28.5,90,,70.0,,Specific Gravity,BIAB,,20.0,,,14727.0,True
1005,Classic German Pilsner,/homebrew/recipe/view/209347/classic-german-pilsner,81,22.71,1.048,1.011,4.81,33.08,3.08,28.39,90,1.038,70.0,,Specific Gravity,All Grain,1.5,10.0,,,,True
1006,Tony's German Pilsner,/homebrew/recipe/view/144142/tony-s-german-pilsner,81,45.42,1.054,1.014,5.23,40.23,3.23,53.0,90,1.047,75.0,,Specific Gravity,All Grain,,10.0,,,,True
1062,Classic American Pilsner (BIAB),/homebrew/recipe/view/75159/classic-american-pilsner-biab-,40,20.0,1.064,1.013,6.73,39.46,3.58,29.5,80,1.043,70.0,,Specific Gravity,BIAB,1.75,10.0,,,,True
1096,Pilsner 20L (Speidel Braumeister),/homebrew/recipe/view/291865/pilsner-20l-speidel-braumeister-,81,21.0,1.054,1.0090000000000001,5.92,12.83,3.13,25.0,80,1.046,80.0,4.5,Specific Gravity,All Grain,,12.0,,,39994.0,True
1150,CZ Pils,/homebrew/recipe/view/114504/cz-pils,31,20.82,1.121,1.034,11.49,137.44,5.52,36.26,90,1.07,75.0,1.5,Specific Gravity,All Grain,2.0,8.89,,,,True
1152,Pivo Hoppy Pils,/homebrew/recipe/view/299463/pivo-hoppy-pils,80,20.82,1.047,1.0090000000000001,5.0,39.87,2.84,26.5,60,1.037,77.0,1.5,Specific Gravity,All Grain,1.5,8.89,,,,True
1223,Emersons Pilsner Clone,/homebrew/recipe/view/163711/emersons-pilsner-clone,40,23.0,1.052,1.01,5.46,39.53,4.04,14.0,60,1.085,75.0,,Specific Gravity,BIAB,1.75,19.0,,,,True
1290,'#1 American pilsner,/homebrew/recipe/view/253341/-1-american-pilsner,40,19.87,1.048,1.0090000000000001,5.21,25.75,3.16,11.36,45,1.085,35.0,,Specific Gravity,extract,1.5,18.33,,,44742.0,True
1336,Noble Donkey Pilsen Lager,/homebrew/recipe/view/61998/noble-donkey-pilsen-lager,81,20.82,1.046,1.011,4.5,36.99,2.98,28.39,60,1.034,70.0,,Specific Gravity,All Grain,1.5,10.0,,,1109.0,True
1427,Urquell clone,/homebrew/recipe/view/123350/urquell-clone,31,20.82,1.077,1.02,7.51,44.44,4.39,28.39,90,1.057,75.0,,Specific Gravity,All Grain,2.0,9.44,,,,True
1558,Bikini Blonde,/homebrew/recipe/view/108792/bikini-blonde,40,18.93,1.055,1.01,5.94,30.57,4.86,22.71,60,1.046,60.0,,Specific Gravity,BIAB,0.5,18.89,,,24391.0,True
1710,Henninger Kaiser Pils clone,/homebrew/recipe/view/132749/henninger-kaiser-pils-clone,81,20.82,1.072,1.02,6.82,62.34,4.18,11.36,90,1.1320000000000001,35.0,,Specific Gravity,Partial Mash,2.0,9.44,,,,True
1747,Kevin C.,/homebrew/recipe/view/188006/kevin-c-,80,22.71,1.0490000000000002,1.011,4.97,20.45,3.0,26.5,30,1.042,75.0,1.67,Specific Gravity,All Grain,0.75,14.44,,,34123.0,True
1762,Pre-Pro Pils,/homebrew/recipe/view/45385/pre-pro-pils,40,20.82,1.064,1.021,5.68,33.58,3.56,28.39,60,1.047,75.0,,Specific Gravity,All Grain,,15.56,,,11874.0,True
1784,Weisteiner Premium Verum Clone,/homebrew/recipe/view/206816/weisteiner-premium-verum-clone,81,42.0,1.051,1.011,5.21,33.15,4.01,52.0,90,1.041,65.0,6.0,Specific Gravity,All Grain,1.5,11.0,,,40623.0,True
1813,Bakke Brygg Tsjekkisk Pilsner 20 l,/homebrew/recipe/view/227761/bakke-brygg-tsjekkisk-pilsner-20-l,31,20.0,1.05,1.013,4.84,40.01,3.45,25.0,90,1.04,73.0,,Specific Gravity,All Grain,,10.0,Sukkerlake,6 g sukker/l,18325.0,True
1960,Plezenske Pivo,/homebrew/recipe/view/21056/plezenske-pivo,31,21.0,1.05,1.014,4.86,39.79,3.28,29.0,60,,80.0,,Specific Gravity,All Grain,1.5,11.0,,,,True
1990,New World Pils,/homebrew/recipe/view/109245/new-world-pils,40,90.0,1.05,1.0090000000000001,5.42,30.11,3.02,100.0,60,1.045,70.0,2.4,Specific Gravity,All Grain,1.5,14.0,,,,True
2024,Brown Sugar BoPils,/homebrew/recipe/view/59045/brown-sugar-bopils,31,3.79,1.055,1.015,5.18,30.81,4.74,7.1,90,1.015,70.0,,Specific Gravity,extract,1.5,10.0,Corn sugar,0.85 oz (for 2.3 Vol CO2),15077.0,True
2047,Czech Pilsner,/homebrew/recipe/view/147727/czech-pilsner,81,25.0,1.0490000000000002,1.013,4.75,19.83,2.93,8.0,60,1.146,35.0,,Specific Gravity,extract,,17.8,,,,True
2074,Pils,/homebrew/recipe/view/212723/pils,80,17.03,1.048,1.0090000000000001,5.17,32.29,3.45,22.71,90,1.036,72.0,1.5,Specific Gravity,All Grain,1.75,10.0,,,,True
2092,Pivo Pils Clone,/homebrew/recipe/view/461103/pivo-pils-clone,80,20.82,1.047,1.01,4.9,39.87,3.1,28.39,60,1.034,68.0,1.25,Specific Gravity,All Grain,1.5,10.0,,,,True
2198,Glacial NZ Pilsner GrainFather,/homebrew/recipe/view/357452/glacial-nz-pilsner-grainfather,80,22.0,1.053,1.011,5.51,26.64,3.32,26.0,90,1.045,75.0,2.5,Specific Gravity,All Grain,1.5,12.0,,,4040.0,True
2223,Hey Blondie!,/homebrew/recipe/view/5165/hey-blondie-,81,18.93,1.054,1.012,5.47,26.58,3.23,11.36,60,1.09,75.0,,Specific Gravity,Partial Mash,,22.22,corn sugar,5 ounces,,True
2268,27  Zubal Bohe Pilsner 01/18/14,/homebrew/recipe/view/92193/27-zubal-bohe-pilsner-01-18-14,31,18.93,1.073,1.012,8.0,29.44,4.7,28.39,60,1.0490000000000002,69.0,1.5,Specific Gravity,All Grain,1.5,7.22,,,18798.0,True
2337,Double Century Bohemian Pilsner,/homebrew/recipe/view/122445/double-century-bohemian-pilsner,31,20.82,1.128,1.0390000000000001,11.64,161.07,5.77,28.39,90,1.094,75.0,1.5,Specific Gravity,All Grain,,9.44,,,,True
2408,Columbus Pilsner,/homebrew/recipe/view/211910/columbus-pilsner,81,25.0,1.045,1.011,4.43,32.41,4.2,35.0,60,1.032,70.0,2.4,Specific Gravity,All Grain,1.5,12.0,,,14759.0,True
2587,German Pilsener #1,/homebrew/recipe/view/60015/german-pilsener-1,40,20.0,1.06,1.0170000000000001,5.69,28.41,4.1,14.0,60,1.0859999999999999,76.0,,Specific Gravity,BIAB,,14.0,Cane Sugar,103,14997.0,True
2610,Isengard-2,/homebrew/recipe/view/11985/isengard-2,81,38.8,1.0490000000000002,1.012,4.86,40.04,3.48,48.07,90,1.04,65.0,1.4,Specific Gravity,All Grain,,10.0,,,,True
2778,Bohemian Pilsner,/homebrew/recipe/view/155002/bohemian-pilsner,31,45.42,1.0490000000000002,1.012,4.76,35.11,4.74,49.21,100,1.045,75.0,1.25,Specific Gravity,All Grain,1.75,15.56,,,,True
2835,Czech Pilsner  Ale gjær,/homebrew/recipe/view/270037/,31,23.0,1.046,1.012,4.56,37.68,4.58,29.0,90,1.037,75.0,5.0,Specific Gravity,All Grain,,15.0,Sugar and water solution,6 g sugar/litre,,True
2960,Little Prague,/homebrew/recipe/view/81065/little-prague,31,27.0,1.06,1.016,5.75,36.25,3.79,30.0,60,1.054,75.0,3.0,Specific Gravity,All Grain,1.5,9.0,,,,True
2974,Andrimne pilsner variant 2,/homebrew/recipe/view/210059/andrimne-pilsner-variant-2,81,21.0,1.047,1.01,4.87,43.63,3.36,28.5,90,1.035,73.0,,Specific Gravity,All Grain,,10.0,,,,True
3080,Country Blonde,/homebrew/recipe/view/55244/country-blonde,31,20.82,1.044,1.0090000000000001,4.62,14.69,4.24,28.39,60,1.032,75.0,,Specific Gravity,BIAB,0.75,18.33,,,5889.0,True
3222,"Classic light lager. ""CAN BEER""",/homebrew/recipe/view/217871/classic-light-lager-can-beer-,81,20.82,1.044,1.0090000000000001,4.58,17.81,3.43,28.39,90,1.032,75.0,1.45,Specific Gravity,All Grain,1.5,10.56,,,,True
3300,Tan Lines - DH Pilsner,/homebrew/recipe/view/207350/tan-lines-dh-pilsner,80,537.53,12.254000000000001,2.98982,4.95,18.86,2.93,594.31,90,11.1,81.0,1.5,Plato,All Grain,,15.56,,,,True
3463,Mountain goat steam ale clone 2,/homebrew/recipe/view/151627/mountain-goat-steam-ale-clone-2,31,60.0,1.046,1.0070000000000001,5.07,23.52,9.2,47.0,60,1.0590000000000002,45.0,,Specific Gravity,Partial Mash,1.75,14.0,,,,True
3496,Pilsener Ale 0.1,/homebrew/recipe/view/66066/pilsener-ale-0-1,31,16.0,1.05,1.014,4.77,41.63,4.81,20.0,60,1.04,71.0,4.0,Specific Gravity,All Grain,0.5,18.0,,,,True
3756,Kjeller 5 Hop Bursted Pale Ale 25 L,/homebrew/recipe/view/282115/kjeller-5-hop-bursted-pale-ale-25-l,111,25.0,1.051,1.0090000000000001,5.56,36.21,5.47,28.0,60,1.046,70.0,3.0,Specific Gravity,All Grain,0.75,19.0,,,51696.0,True
3759,Pils,/homebrew/recipe/view/47729/pils,31,23.0,1.057,1.016,5.42,37.36,3.51,32.0,60,,79.0,,Specific Gravity,BIAB,,10.0,,,13922.0,True
3810,Bohemian Rhapsody,/homebrew/recipe/view/174668/bohemian-rhapsody,31,22.71,1.053,1.013,5.23,22.49,3.72,28.39,60,1.042,70.0,,Specific Gravity,All Grain,,14.44,,,14852.0,True
3894,2015 - 1/25 - Sherlocks American Pils,/homebrew/recipe/view/182242/2015-1-25-sherlocks-american-pils,40,41.64,1.053,1.011,5.52,39.92,3.63,49.21,60,1.045,70.0,1.5,Specific Gravity,All Grain,1.0,10.56,,,,True
3901,06 American Pilsner,/homebrew/recipe/view/155036/06-american-pilsner,31,25.0,14.8629,2.60625,6.61,63.35,5.61,28.0,80,13.3,74.0,3.0,Plato,All Grain,,12.0,,,,True
3954,Kjeller 5 Tysk Pilsner 25 l,/homebrew/recipe/view/279602/kjeller-5-tysk-pilsner-25-l,81,25.0,1.048,1.01,4.97,35.02,3.03,29.0,90,1.041,73.0,,Specific Gravity,All Grain,,10.0,,,51696.0,True
3983,Wedding pils,/homebrew/recipe/view/183994/wedding-pils,31,59.62,1.051,1.013,4.97,48.71,3.63,66.24,60,1.046,80.0,,Specific Gravity,BIAB,0.5,10.0,,,34855.0,True
3995,Noble Pilsner - One Gallon,/homebrew/recipe/view/238784/noble-pilsner-one-gallon,81,3.79,1.047,1.0070000000000001,5.26,17.0,4.68,7.57,90,1.023,55.0,,Specific Gravity,All Grain,0.35,15.56,,,45128.0,True
4166,Tillerpils,/homebrew/recipe/view/54923/tillerpils,31,43.0,1.054,1.015,5.13,43.03,3.89,50.0,90,,74.0,,Specific Gravity,All Grain,1.5,11.0,,,,True
4173,Henninger Kaiser Pils on steroids,/homebrew/recipe/view/114473/henninger-kaiser-pils-on-steroids,81,20.82,1.094,1.021,9.63,46.75,4.76,27.44,90,1.071,75.0,,Specific Gravity,Partial Mash,2.0,8.89,Corn Sugar,to taste,,True
4188,Pils  Braumeister 20L,/homebrew/recipe/view/328022/pils-braumeister-20l,31,21.0,1.051,1.012,5.03,36.66,4.37,25.0,90,1.042,75.0,,Specific Gravity,BIAB,1.5,10.0,Forced carbonation,,54364.0,True
4205,Fjerten pilsner #2,/homebrew/recipe/view/135147/fjerten-pilsner-2,81,25.0,1.064,1.016,6.3,42.62,4.63,28.5,60,1.057,75.0,3.0,Specific Gravity,All Grain,0.5,12.0,,,27280.0,True
4576,Forty Six and Two,/homebrew/recipe/view/49019/forty-six-and-two,111,24.61,1.0659999999999998,1.0170000000000001,6.54,71.92,40.0,30.28,90,1.054,70.0,,Specific Gravity,All Grain,2.0,8.89,Corn sugar,3 oz  21 days,5385.0,True
4625,Stella Clone,/homebrew/recipe/view/127483/stella-clone,40,20.82,1.037,1.01,3.48,16.4,3.91,11.36,60,1.067,35.0,,Specific Gravity,extract,,13.89,,,,True
4673,Pilsen Chopp,/homebrew/recipe/view/309314/pilsen-chopp,80,30.0,1.055,1.01,5.84,17.92,3.57,38.0,60,1.043,65.0,,Specific Gravity,BIAB,0.5,20.0,,,,True
4899,Jack's Abby Leisure Time Lager,/homebrew/recipe/view/216726/jack-s-abby-leisure-time-lager,40,20.8,1.044,1.008,4.76,11.07,3.54,28.5,60,1.032,65.0,3.1,Specific Gravity,All Grain,1.5,12.0,,,,True
5037,Bohemian Pilsner,/homebrew/recipe/view/290606/bohemian-pilsner,80,143.85,1.0490000000000002,1.013,4.67,43.53,3.78,155.2,60,1.045,70.0,1.113,Specific Gravity,All Grain,,10.0,,,,True
5038,Bohemian Pilsner - One Gallon,/homebrew/recipe/view/228722/bohemian-pilsner-one-gallon,31,3.79,1.048,1.008,5.33,25.47,4.41,5.68,90,1.032,55.0,1.5,Specific Gravity,All Grain,0.35,18.33,,,45128.0,True
5204,Pils Done Right 2,/homebrew/recipe/view/347257/pils-done-right-2,80,20.82,1.047,1.012,4.61,21.76,3.28,24.61,90,1.04,63.0,1.0,Specific Gravity,All Grain,1.5,12.78,,,27284.0,True
5241,Hadopelagic,/homebrew/recipe/view/70284/hadopelagic,111,24.61,1.097,1.023,9.72,89.58,40.0,30.28,90,1.079,72.0,,Specific Gravity,All Grain,1.25,18.89,Corn sugar,2.75  21 days,5385.0,True
5262,English Amber Ale,/homebrew/recipe/view/259739/english-amber-ale,111,4.0,1.05,1.012,4.96,19.9,19.25,5.0,60,1.04,44.0,3.0,Specific Gravity,All Grain,0.75,22.0,,,,True
5448,Lager than life,/homebrew/recipe/view/207305/lager-than-life,40,15.0,1.048,1.013,4.53,33.11,11.54,18.0,90,1.04,60.0,,Specific Gravity,Partial Mash,1.75,12.0,,,,True
5477,Urqell clone  high gravity  IBU,/homebrew/recipe/view/131194/urqell-clone-high-gravity-ibu,31,20.82,1.1,1.014,11.26,48.04,6.08,28.39,90,1.073,35.0,1.5,Specific Gravity,All Grain,2.0,8.89,,,,True
5478,Mr. Yuk's Honey Chuck,/homebrew/recipe/view/124801/mr-yuk-s-honey-chuck,31,20.82,1.052,1.013,5.16,37.11,4.85,24.61,90,1.044,70.0,1.25,Specific Gravity,All Grain,1.75,10.0,Keg,,26930.0,True
5481,Peroni,/homebrew/recipe/view/459465/peroni,31,44.0,1.052,1.012,5.25,14.54,3.95,54.0,60,1.043,68.0,2.5,Specific Gravity,All Grain,,12.0,,,,True
5491,Kellerbier,/homebrew/recipe/view/247833/kellerbier,111,17.03,1.065,1.015,6.57,13.08,3.89,22.71,60,1.0490000000000002,70.0,1.5,Specific Gravity,All Grain,1.5,12.78,,,,True
5598,Yellowhouse Pilsner,/homebrew/recipe/view/41895/yellowhouse-pilsner,40,20.82,1.051,1.013,5.0,21.91,3.41,24.61,90,1.044,65.0,1.5,Specific Gravity,All Grain,2.0,10.0,,,,True
5612,Gaula Pilsner (tsjekkisk),/homebrew/recipe/view/272295/gaula-pilsner-tsjekkisk-,31,25.0,1.05,1.012,5.01,35.96,3.71,28.0,90,1.045,73.0,,Specific Gravity,All Grain,1.5,10.0,Sukkerlake,6 g sukker/l,28574.0,True
5656,Stella Clone,/homebrew/recipe/view/226123/stella-clone,81,20.82,1.043,1.0090000000000001,4.41,23.23,3.0,24.61,60,1.036,65.0,1.25,Specific Gravity,All Grain,0.35,20.56,,,,True
5672,NZ pilsner,/homebrew/recipe/view/287289/nz-pilsner,31,30.0,1.046,1.01,4.63,21.47,2.89,32.0,90,1.043,90.0,3.0,Specific Gravity,All Grain,,10.0,,,42061.0,True
5751,Bohemian Pilsner,/homebrew/recipe/view/147179/bohemian-pilsner,31,18.93,1.077,1.02,7.54,57.3,3.88,28.39,90,1.051,80.0,1.5,Specific Gravity,All Grain,2.0,9.44,,,,True
5777,Pilsen 10,/homebrew/recipe/view/325094/pilsen-10,81,40.0,1.054,1.015,5.1,37.56,4.82,48.0,80,1.045,75.0,3.0,Specific Gravity,All Grain,,13.0,,,45658.0,True
5820,Prima Pils Clone,/homebrew/recipe/view/445497/prima-pils-clone,80,23.02,1.053,1.014,5.17,45.17,3.28,28.39,90,1.043,73.0,1.75,Specific Gravity,All Grain,1.5,10.0,,,,True
5866,Midtbrygg Trønderpils,/homebrew/recipe/view/401712/,80,25.0,1.0490000000000002,1.011,5.01,34.91,3.55,30.0,60,1.041,80.0,3.3,Specific Gravity,All Grain,,12.0,,,73426.0,True
5882,Imperial India Pale Lager,/homebrew/recipe/view/253799/imperial-india-pale-lager,40,18.93,1.0759999999999998,1.02,7.39,110.34,4.91,24.61,60,1.0590000000000002,75.0,1.25,Specific Gravity,All Grain,,11.11,,,,True
5914,Before Capone,/homebrew/recipe/view/205057/before-capone,40,20.82,1.055,1.015,5.24,46.94,3.49,28.39,60,1.04,70.0,1.5,Specific Gravity,All Grain,1.5,10.0,,,,True
5919,Total Extract Pilsner,/homebrew/recipe/view/127832/total-extract-pilsner,40,20.0,1.048,1.013,4.53,25.44,3.5,11.0,60,1.087,35.0,,Specific Gravity,extract,1.5,4.0,,,,True
5925,Pils,/homebrew/recipe/view/192819/pils,31,25.0,1.048,1.0070000000000001,5.33,39.22,3.47,29.0,90,1.041,70.0,3.5,Specific Gravity,All Grain,1.5,10.0,,6g/l,32613.0,True
5941,Hepne brygg #8,/homebrew/recipe/view/152513/hepne-brygg-8,81,23.0,1.051,1.0090000000000001,5.53,35.46,3.47,25.0,60,1.046,76.0,,Specific Gravity,BIAB,,10.0,,,28509.0,True
5942,B4D Czech Pilsner Ale ? 04.24.15,/homebrew/recipe/view/235209/b4d-czech-pilsner-ale-04-24-15,81,18.17,1.064,1.014,6.67,115.12,5.09,30.28,90,1.0390000000000001,62.0,,Specific Gravity,BIAB,2.0,10.0,,,34701.0,True
5989,Bohemian Pils,/homebrew/recipe/view/431265/bohemian-pils,80,22.71,1.05,1.011,5.08,34.73,3.22,28.39,45,1.04,80.0,,Specific Gravity,BIAB,1.5,13.89,,,,True
6010,FraPils,/homebrew/recipe/view/254200/frapils,31,50.0,1.0490000000000002,1.01,5.17,39.75,5.79,53.0,60,1.046,70.0,,Specific Gravity,All Grain,,12.0,,,48625.0,True
6070,Pilsner Wheat II,/homebrew/recipe/view/124374/pilsner-wheat-ii,31,25.0,1.054,1.015,5.04,37.93,3.65,11.0,60,1.122,35.0,,Specific Gravity,extract,,12.0,,,,True
6286,KPils,/homebrew/recipe/view/52329/kpils,31,24.0,1.05,1.012,5.06,41.36,3.88,30.8,90,1.0390000000000001,85.0,3.5,Specific Gravity,All Grain,1.5,10.0,,,,True
6307,Munich Lager,/homebrew/recipe/view/93646/munich-lager,31,25.0,1.044,1.012,4.13,43.11,4.98,27.0,70,1.04,63.0,,Specific Gravity,BIAB,0.35,15.0,,,,True
6351,Full Grain Pilsner,/homebrew/recipe/view/303625/full-grain-pilsner,31,22.0,1.047,1.012,4.56,34.45,3.71,30.0,90,1.034,71.0,3.0,Specific Gravity,All Grain,,12.0,,,48422.0,True
6374,Ten Pounds Brewing: 10 Gallon Batch Hoppy La...,/homebrew/recipe/view/334484/ten-pounds-brewing-10-gallon-batch-hoppy-lager-3-18,81,41.64,1.053,1.012,5.42,44.45,3.49,51.1,90,1.043,77.0,1.5,Specific Gravity,All Grain,1.5,10.0,,,22126.0,True
6414,Pils Pls,/homebrew/recipe/view/269459/pils-pls,40,23.0,1.044,1.01,4.47,40.04,3.22,34.0,90,1.03,64.0,3.0,Specific Gravity,All Grain,0.5,11.0,,,49326.0,True
6422,Grolsch Imperial Lager,/homebrew/recipe/view/299257/grolsch-imperial-lager,81,20.82,1.054,1.011,5.57,36.95,4.18,28.39,90,1.04,70.0,1.25,Specific Gravity,All Grain,1.5,4.44,,,,True
6441,CZ Pils,/homebrew/recipe/view/145709/cz-pils,31,20.82,1.0659999999999998,1.015,6.69,54.35,3.93,36.26,90,1.038,75.0,1.5,Specific Gravity,All Grain,2.0,8.89,,,,True
6456,1912 Olympia clone,/homebrew/recipe/view/569280/1912-olympia-clone,40,20.82,1.055,1.012,5.54,29.94,3.02,26.5,90,1.043,80.0,1.8,Specific Gravity,All Grain,0.5,-17.78,,,,True
6598,Motueka Lager,/homebrew/recipe/view/208157/motueka-lager,81,7.57,1.0490000000000002,1.008,5.45,43.29,3.87,10.22,90,1.036,65.0,,Specific Gravity,BIAB,1.75,12.78,,,35274.0,True
6679,Czech Pilsner,/homebrew/recipe/view/207232/czech-pilsner,31,23.0,1.047,1.013,4.43,44.15,2.83,32.0,75,1.034,68.0,2.5,Specific Gravity,All Grain,0.75,12.0,Corn Sugar,140g,,True
6820,Liberation Bohemian  Pilsner,/homebrew/recipe/view/254749/liberation-bohemian-pilsner,31,23.0,1.053,1.008,5.88,37.56,5.56,28.4,60,1.043,69.0,3.0,Specific Gravity,All Grain,1.75,12.0,,,16290.0,True
6893,#34 Pilsner,/homebrew/recipe/view/286189/-34-pilsner,31,21.0,1.052,1.013,5.04,40.89,3.9,20.0,60,1.054,72.0,,Specific Gravity,BIAB,1.5,10.5,,,,True
6911,#0016 Jamil Myburger German Pilsner,/homebrew/recipe/view/319788/-0016-jamil-myburger-german-pilsner,81,19.87,1.05,1.012,5.04,38.11,3.42,28.39,60,1.035,63.0,,Specific Gravity,BIAB,0.75,11.11,,,,True
7083,Augustiner Lagerbier Hell clone,/homebrew/recipe/view/345161/augustiner-lagerbier-hell-clone,81,18.93,1.054,1.016,5.0,21.7,4.02,26.5,90,1.0290000000000001,65.0,1.25,Specific Gravity,All Grain,,13.33,,,,True
7129,Little yella pills clone,/homebrew/recipe/view/210189/little-yella-pills-clone,31,45.42,1.062,1.0170000000000001,5.83,49.8,6.45,53.0,60,1.053,75.0,1.25,Specific Gravity,All Grain,,11.11,,,,True
7209,Andrimne Pilsner,/homebrew/recipe/view/204363/andrimne-pilsner,81,33.0,1.0490000000000002,1.014,4.66,45.3,4.19,38.0,90,1.043,55.0,4.0,Specific Gravity,All Grain,1.5,4.0,Sugar,,28452.0,True
7261,Das Wulf Bier,/homebrew/recipe/view/208336/das-wulf-bier,81,41.64,1.05,1.012,5.02,31.52,3.72,53.0,90,1.0390000000000001,75.0,1.5,Specific Gravity,All Grain,1.75,10.0,,,,True
7385,Pilsner Urquell Clone,/homebrew/recipe/view/269194/pilsner-urquell-clone,31,18.9,1.052,1.013,5.04,41.1,5.17,10.0,60,1.073,35.0,,Specific Gravity,extract,,13.0,malt,300g,48422.0,True
